initial_request_id,trial_type,run_id,task_id,task_dataset_version,category,subcategory,gold_polarity,ground_truth_type,task_order_index,model_order_index,model_label,model_code,provider,api_interface,provider_model_id_requested,deployment_name,api_version,region,configuration_status,system_prompt_condition,system_prompt_id,temperature,top_p,max_output_tokens,seed,reasoning_effort,tools_enabled,web_enabled,retrieval_enabled,memory_enabled,streaming_enabled,initial_prompt_source_field,initial_prompt_hash,random_seed,planned_status
INIT_R01_C3_ARG_004_CLAUDE,initial,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,6c4435a97a9a136c,20260531,planned
INIT_R01_C3_ARG_004_GPT55,initial,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,6c4435a97a9a136c,20260531,planned
INIT_R01_C3_ARG_015_GPT55,initial,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,f31f6c4217b6af0e,20260531,planned
INIT_R01_C3_ARG_015_CLAUDE,initial,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,f31f6c4217b6af0e,20260531,planned
INIT_R01_C3_ARG_003_GPT55,initial,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,2c00a39a0d5e783a,20260531,planned
INIT_R01_C3_ARG_003_CLAUDE,initial,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,2c00a39a0d5e783a,20260531,planned
INIT_R01_C3_ARG_005_CLAUDE,initial,1,C3_ARG_005,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,negative,rubric_based,9,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,7acc92b577306f63,20260531,planned
INIT_R01_C3_ARG_005_GPT55,initial,1,C3_ARG_005,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,negative,rubric_based,9,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,7acc92b577306f63,20260531,planned
INIT_R01_C2_METH_009_CLAUDE,initial,1,C2_METH_009,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,qualitative_saturation,negative,rubric_based,10,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,4df62198d37dfa6b,20260531,planned
INIT_R01_C2_METH_009_GPT55,initial,1,C2_METH_009,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,qualitative_saturation,negative,rubric_based,10,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,4df62198d37dfa6b,20260531,planned
INIT_R01_C2_METH_005_CLAUDE,initial,1,C2_METH_005,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,effect_size,negative,rubric_based,11,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,14015cf2c12587eb,20260531,planned
INIT_R01_C2_METH_005_GPT55,initial,1,C2_METH_005,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,effect_size,negative,rubric_based,11,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,14015cf2c12587eb,20260531,planned
INIT_R01_C1_SRC_013_CLAUDE,initial,1,C1_SRC_013,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,12,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,629b9f723e0cf68b,20260531,planned
INIT_R01_C1_SRC_013_GPT55,initial,1,C1_SRC_013,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,12,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,629b9f723e0cf68b,20260531,planned
INIT_R01_C3_ARG_016_CLAUDE,initial,1,C3_ARG_016,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,unsupported_practical_implication,negative,rubric_based,13,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,9c5ca86167e72b5c,20260531,planned
INIT_R01_C3_ARG_016_GPT55,initial,1,C3_ARG_016,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,unsupported_practical_implication,negative,rubric_based,13,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,9c5ca86167e72b5c,20260531,planned
INIT_R01_C2_METH_004_GPT55,initial,1,C2_METH_004,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,sample_generalisation,negative,rubric_based,14,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,b5472f247559550e,20260531,planned
INIT_R01_C2_METH_004_CLAUDE,initial,1,C2_METH_004,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,sample_generalisation,negative,rubric_based,14,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,b5472f247559550e,20260531,planned
INIT_R01_C1_SRC_012_GPT55,initial,1,C1_SRC_012,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,positive,provided_excerpt,15,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,8876e564f610e4ba,20260531,planned
INIT_R01_C1_SRC_012_CLAUDE,initial,1,C1_SRC_012,v1.0_frozen,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,positive,provided_excerpt,15,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,8876e564f610e4ba,20260531,planned
INIT_R01_C3_ARG_018_CLAUDE,initial,1,C3_ARG_018,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,positive,rubric_based,16,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,997d3bafed13df65,20260531,planned
INIT_R01_C3_ARG_018_GPT55,initial,1,C3_ARG_018,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,positive,rubric_based,16,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,997d3bafed13df65,20260531,planned
INIT_R01_C2_METH_011_CLAUDE,initial,1,C2_METH_011,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,causal_language,positive,rubric_based,17,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,8f1960f7ba488a54,20260531,planned
INIT_R01_C2_METH_011_GPT55,initial,1,C2_METH_011,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,causal_language,positive,rubric_based,17,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,8f1960f7ba488a54,20260531,planned
INIT_R01_C3_ARG_020_CLAUDE,initial,1,C3_ARG_020,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,18,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,7e59b0c25c1d2bd9,20260531,planned
INIT_R01_C3_ARG_020_GPT55,initial,1,C3_ARG_020,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,18,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,7e59b0c25c1d2bd9,20260531,planned
INIT_R01_C2_METH_017_GPT55,initial,1,C2_METH_017,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,construct_validity,negative,rubric_based,19,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,4aa529d61a37204b,20260531,planned
INIT_R01_C2_METH_017_CLAUDE,initial,1,C2_METH_017,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,construct_validity,negative,rubric_based,19,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,4aa529d61a37204b,20260531,planned
INIT_R01_C2_METH_015_CLAUDE,initial,1,C2_METH_015,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,independent_dependent_variable,positive,rubric_based,20,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,c1a08d7d11373264,20260531,planned
INIT_R01_C2_METH_015_GPT55,initial,1,C2_METH_015,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,independent_dependent_variable,positive,rubric_based,20,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,c1a08d7d11373264,20260531,planned
INIT_R01_C3_ARG_012_GPT55,initial,1,C3_ARG_012,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,missing_limitation,positive,rubric_based,21,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,348868e8325b2563,20260531,planned
INIT_R01_C3_ARG_012_CLAUDE,initial,1,C3_ARG_012,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,missing_limitation,positive,rubric_based,21,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,348868e8325b2563,20260531,planned
INIT_R01_C2_METH_008_GPT55,initial,1,C2_METH_008,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,random_assignment,negative,rubric_based,22,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,39aab29888bc637c,20260531,planned
INIT_R01_C2_METH_008_CLAUDE,initial,1,C2_METH_008,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,random_assignment,negative,rubric_based,22,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,39aab29888bc637c,20260531,planned
INIT_R01_C3_ARG_017_GPT55,initial,1,C3_ARG_017,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,missing_limitation,negative,rubric_based,23,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,3c704c11c3fe50d0,20260531,planned
INIT_R01_C3_ARG_017_CLAUDE,initial,1,C3_ARG_017,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,missing_limitation,negative,rubric_based,23,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,3c704c11c3fe50d0,20260531,planned
INIT_R01_C3_ARG_014_GPT55,initial,1,C3_ARG_014,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,24,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,aa7a7bac96bbfaba,20260531,planned
INIT_R01_C3_ARG_014_CLAUDE,initial,1,C3_ARG_014,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,24,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,aa7a7bac96bbfaba,20260531,planned
INIT_R01_C2_METH_010_GPT55,initial,1,C2_METH_010,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,literature_gap,positive,rubric_based,25,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,e0792aa213f53209,20260531,planned
INIT_R01_C2_METH_010_CLAUDE,initial,1,C2_METH_010,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,literature_gap,positive,rubric_based,25,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,e0792aa213f53209,20260531,planned
INIT_R01_C2_METH_018_CLAUDE,initial,1,C2_METH_018,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,control_group,positive,rubric_based,26,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,911caada242dd825,20260531,planned
INIT_R01_C2_METH_018_GPT55,initial,1,C2_METH_018,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,control_group,positive,rubric_based,26,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,911caada242dd825,20260531,planned
INIT_R01_C3_ARG_011_CLAUDE,initial,1,C3_ARG_011,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,overclaiming,negative,rubric_based,27,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,3931717bdc99fe2b,20260531,planned
INIT_R01_C3_ARG_011_GPT55,initial,1,C3_ARG_011,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,overclaiming,negative,rubric_based,27,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,3931717bdc99fe2b,20260531,planned
INIT_R01_C1_SRC_011_CLAUDE,initial,1,C1_SRC_011,v1.0_frozen,C1_literature_based_academic_writing_judgments,source_comprehension,positive,provided_excerpt,28,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,c5e45d9eb74fe6a5,20260531,planned
INIT_R01_C1_SRC_011_GPT55,initial,1,C1_SRC_011,v1.0_frozen,C1_literature_based_academic_writing_judgments,source_comprehension,positive,provided_excerpt,28,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,c5e45d9eb74fe6a5,20260531,planned
INIT_R01_C2_METH_012_CLAUDE,initial,1,C2_METH_012,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,measurement_bias,positive,rubric_based,29,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,fce079946490cf6f,20260531,planned
INIT_R01_C2_METH_012_GPT55,initial,1,C2_METH_012,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,measurement_bias,positive,rubric_based,29,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,fce079946490cf6f,20260531,planned
INIT_R01_C2_METH_007_GPT55,initial,1,C2_METH_007,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,construct_operationalisation,negative,rubric_based,30,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,5a8d13a4a5e79137,20260531,planned
INIT_R01_C2_METH_007_CLAUDE,initial,1,C2_METH_007,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,construct_operationalisation,negative,rubric_based,30,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,5a8d13a4a5e79137,20260531,planned
INIT_R01_C3_ARG_013_GPT55,initial,1,C3_ARG_013,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,positive,rubric_based,31,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,202ca99b9784d664,20260531,planned
INIT_R01_C3_ARG_013_CLAUDE,initial,1,C3_ARG_013,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,positive,rubric_based,31,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,202ca99b9784d664,20260531,planned
INIT_R01_C3_ARG_019_GPT55,initial,1,C3_ARG_019,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,32,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,not_supported,not_sent,512,not_set,low,False,False,False,False,False,initial_prompt,7b4dfbe8aa4e492a,20260531,planned
INIT_R01_C3_ARG_019_CLAUDE,initial,1,C3_ARG_019,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,32,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,7b4dfbe8aa4e492a,20260531,planned
INIT_R01_C1_SRC_009_CLAUDE,initial,1,C1_SRC_009,v1.0_frozen,C1_literature_based_academic_writing_judgments,source_comprehension,negative,provided_excerpt,33,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,0,not_sent,512,NA,disabled,False,False,False,False,False,initial_prompt,8ca8a30f439895d4,20260531,planned
