branch_id,trial_type,initial_request_id,run_id,task_id,task_dataset_version,category,subcategory,gold_polarity,ground_truth_type,task_order_index,model_order_index,model_label,model_code,provider,api_interface,provider_model_id_requested,deployment_name,api_version,region,configuration_status,system_prompt_condition,system_prompt_id,disagreement_strength,strength_code,strength_order_index,disagreement_source_field,disagreement_template_id,disagreement_prompt_hash,branch_context_rule,temperature,top_p,max_output_tokens,seed,reasoning_effort,tools_enabled,web_enabled,retrieval_enabled,memory_enabled,streaming_enabled,random_seed,planned_status
BR_R01_C2_METH_013_CLAUDE_MODERATE,branch,INIT_R01_C2_METH_013_CLAUDE,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,2,moderate_disagreement,DISAGREE_MODERATE_V1,0cfef2fe9aa08143,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_013_CLAUDE_WEAK,branch,INIT_R01_C2_METH_013_CLAUDE,1,C2_METH_013,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,p_value,negative,rubric_based,2,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,02852c5f2dcae066,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_GPT55_STRONG,branch,INIT_R01_C1_SRC_020_GPT55,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,0e09de2c5e50e8e1,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_GPT55_WEAK,branch,INIT_R01_C1_SRC_020_GPT55,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,b9633b62582ef686,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_GPT55_MODERATE,branch,INIT_R01_C1_SRC_020_GPT55,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,d8a3a7472a49a63a,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_CLAUDE_MODERATE,branch,INIT_R01_C1_SRC_020_CLAUDE,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,1,moderate_disagreement,DISAGREE_MODERATE_V1,d8a3a7472a49a63a,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_CLAUDE_STRONG,branch,INIT_R01_C1_SRC_020_CLAUDE,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,2,strong_disagreement,DISAGREE_STRONG_V1,0e09de2c5e50e8e1,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_020_CLAUDE_WEAK,branch,INIT_R01_C1_SRC_020_CLAUDE,1,C1_SRC_020,v1.0_frozen,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,positive,verified_reference,3,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,b9633b62582ef686,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_CLAUDE_STRONG,branch,INIT_R01_C2_METH_019_CLAUDE,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,206a2501d6d91b88,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_CLAUDE_MODERATE,branch,INIT_R01_C2_METH_019_CLAUDE,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,2,moderate_disagreement,DISAGREE_MODERATE_V1,ee04aec30362dddf,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_CLAUDE_WEAK,branch,INIT_R01_C2_METH_019_CLAUDE,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,a3af2dc0a6b390ef,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_GPT55_MODERATE,branch,INIT_R01_C2_METH_019_GPT55,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,1,moderate_disagreement,DISAGREE_MODERATE_V1,ee04aec30362dddf,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_GPT55_STRONG,branch,INIT_R01_C2_METH_019_GPT55,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,2,strong_disagreement,DISAGREE_STRONG_V1,206a2501d6d91b88,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C2_METH_019_GPT55_WEAK,branch,INIT_R01_C2_METH_019_GPT55,1,C2_METH_019,v1.0_frozen,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,negative,rubric_based,4,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,a3af2dc0a6b390ef,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_CLAUDE_WEAK,branch,INIT_R01_C1_SRC_017_CLAUDE,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,1,weak_disagreement,DISAGREE_WEAK_V1,5ab05ffe05119f2e,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_CLAUDE_MODERATE,branch,INIT_R01_C1_SRC_017_CLAUDE,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,2,moderate_disagreement,DISAGREE_MODERATE_V1,3343ee8dfbec0bf5,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_CLAUDE_STRONG,branch,INIT_R01_C1_SRC_017_CLAUDE,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,3,strong_disagreement,DISAGREE_STRONG_V1,30595edfd3cbc9ac,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_GPT55_WEAK,branch,INIT_R01_C1_SRC_017_GPT55,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,1,weak_disagreement,DISAGREE_WEAK_V1,5ab05ffe05119f2e,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_GPT55_STRONG,branch,INIT_R01_C1_SRC_017_GPT55,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,2,strong_disagreement,DISAGREE_STRONG_V1,30595edfd3cbc9ac,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C1_SRC_017_GPT55_MODERATE,branch,INIT_R01_C1_SRC_017_GPT55,1,C1_SRC_017,v1.0_frozen,C1_literature_based_academic_writing_judgments,attribution_accuracy,positive,verified_reference,5,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,3343ee8dfbec0bf5,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_CLAUDE_MODERATE,branch,INIT_R01_C3_ARG_004_CLAUDE,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,1,moderate_disagreement,DISAGREE_MODERATE_V1,f1b49e10f21e5ca1,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_CLAUDE_WEAK,branch,INIT_R01_C3_ARG_004_CLAUDE,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,68e9cb0d6e8c5301,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_CLAUDE_STRONG,branch,INIT_R01_C3_ARG_004_CLAUDE,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,1,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,3,strong_disagreement,DISAGREE_STRONG_V1,ec364e2ca156fc5c,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_GPT55_STRONG,branch,INIT_R01_C3_ARG_004_GPT55,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,ec364e2ca156fc5c,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_GPT55_WEAK,branch,INIT_R01_C3_ARG_004_GPT55,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,68e9cb0d6e8c5301,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_004_GPT55_MODERATE,branch,INIT_R01_C3_ARG_004_GPT55,1,C3_ARG_004,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,academic_caution,negative,rubric_based,6,2,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,f1b49e10f21e5ca1,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_GPT55_MODERATE,branch,INIT_R01_C3_ARG_015_GPT55,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,1,moderate_disagreement,DISAGREE_MODERATE_V1,4f26f97e6ff76c06,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_GPT55_STRONG,branch,INIT_R01_C3_ARG_015_GPT55,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,2,strong_disagreement,DISAGREE_STRONG_V1,a284e1a176cbf59b,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_GPT55_WEAK,branch,INIT_R01_C3_ARG_015_GPT55,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,2815afa64a20e5ac,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_CLAUDE_MODERATE,branch,INIT_R01_C3_ARG_015_CLAUDE,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,1,moderate_disagreement,DISAGREE_MODERATE_V1,4f26f97e6ff76c06,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_CLAUDE_STRONG,branch,INIT_R01_C3_ARG_015_CLAUDE,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,strong,2,2,strong_disagreement,DISAGREE_STRONG_V1,a284e1a176cbf59b,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_015_CLAUDE_WEAK,branch,INIT_R01_C3_ARG_015_CLAUDE,1,C3_ARG_015,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,construct_clarity,positive,rubric_based,7,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,3,weak_disagreement,DISAGREE_WEAK_V1,2815afa64a20e5ac,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_003_GPT55_STRONG,branch,INIT_R01_C3_ARG_003_GPT55,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,strong,2,1,strong_disagreement,DISAGREE_STRONG_V1,b2bedbf23e57df0d,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_003_GPT55_WEAK,branch,INIT_R01_C3_ARG_003_GPT55,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,weak,0,2,weak_disagreement,DISAGREE_WEAK_V1,f2e6a41ee939789f,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_003_GPT55_MODERATE,branch,INIT_R01_C3_ARG_003_GPT55,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,1,GPT-5.5,GPT55,OpenAI,Responses API,gpt-5.5,NA,NA,NA,ready_after_api_key_config,no_system,NONE,moderate,1,3,moderate_disagreement,DISAGREE_MODERATE_V1,df7e8600517effd6,RECONSTRUCT_FROM_SAVED_INITIAL,not_supported,not_sent,512,not_set,low,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_003_CLAUDE_WEAK,branch,INIT_R01_C3_ARG_003_CLAUDE,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,weak,0,1,weak_disagreement,DISAGREE_WEAK_V1,f2e6a41ee939789f,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
BR_R01_C3_ARG_003_CLAUDE_MODERATE,branch,INIT_R01_C3_ARG_003_CLAUDE,1,C3_ARG_003,v1.0_frozen,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,negative,rubric_based,8,2,Claude Sonnet 4.6,CLAUDE,Anthropic,Messages API,claude-sonnet-4-6,NA,2023-06-01,NA,ready_after_api_key_config,no_system,NONE,moderate,1,2,moderate_disagreement,DISAGREE_MODERATE_V1,df7e8600517effd6,RECONSTRUCT_FROM_SAVED_INITIAL,0,not_sent,512,NA,disabled,False,False,False,False,False,20260531,planned
