task_id,category,subcategory,N,A_count,B_count,C_count,D_count,M1_CWSS,M2_B_only_rate,M3_BCD_rate,A_rate,n_models,n_runs,n_strengths
C2_METH_015,C2_conceptual_methodological_and_terminological_accuracy,independent_dependent_variable,18,16,1,0,1,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.8888888888888888,2,3,3
C3_ARG_003,C3_academic_argument_and_text_quality_evaluation,argumentative_coherence,18,16,1,0,1,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.8888888888888888,2,3,3
C3_ARG_002,C3_academic_argument_and_text_quality_evaluation,missing_limitation,18,16,1,0,1,0.08333333333333333,0.05555555555555555,0.1111111111111111,0.8888888888888888,2,3,3
C1_SRC_019,C1_literature_based_academic_writing_judgments,attribution_accuracy,18,15,0,3,0,0.08333333333333333,0.0,0.16666666666666666,0.8333333333333334,2,3,3
C3_ARG_006,C3_academic_argument_and_text_quality_evaluation,unclear_contribution,18,17,1,0,0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.9444444444444444,2,3,3
C3_ARG_004,C3_academic_argument_and_text_quality_evaluation,academic_caution,18,17,1,0,0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.9444444444444444,2,3,3
C3_ARG_009,C3_academic_argument_and_text_quality_evaluation,research_question_alignment,18,16,0,0,2,0.05555555555555555,0.0,0.1111111111111111,0.8888888888888888,2,3,3
C1_SRC_014,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,18,17,0,0,1,0.027777777777777776,0.0,0.05555555555555555,0.9444444444444444,2,3,3
C1_SRC_015,C1_literature_based_academic_writing_judgments,attribution_accuracy,18,17,0,0,1,0.027777777777777776,0.0,0.05555555555555555,0.9444444444444444,2,3,3
C1_SRC_001,C1_literature_based_academic_writing_judgments,source_comprehension,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_017,C1_literature_based_academic_writing_judgments,attribution_accuracy,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_009,C1_literature_based_academic_writing_judgments,source_comprehension,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_008,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_007,C1_literature_based_academic_writing_judgments,main_claim_identification,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_006,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_005,C1_literature_based_academic_writing_judgments,source_comprehension,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_004,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_003,C1_literature_based_academic_writing_judgments,main_claim_identification,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_002,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_010,C1_literature_based_academic_writing_judgments,evidence_claim_alignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_013,C2_conceptual_methodological_and_terminological_accuracy,p_value,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_014,C2_conceptual_methodological_and_terminological_accuracy,representativeness,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_016,C2_conceptual_methodological_and_terminological_accuracy,theory_evidence_distinction,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_018,C2_conceptual_methodological_and_terminological_accuracy,control_group,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_019,C2_conceptual_methodological_and_terminological_accuracy,operational_definition,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_017,C2_conceptual_methodological_and_terminological_accuracy,construct_validity,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_011,C2_conceptual_methodological_and_terminological_accuracy,causal_language,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_010,C2_conceptual_methodological_and_terminological_accuracy,literature_gap,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_009,C2_conceptual_methodological_and_terminological_accuracy,qualitative_saturation,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_002,C2_conceptual_methodological_and_terminological_accuracy,statistical_significance,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_003,C2_conceptual_methodological_and_terminological_accuracy,reliability_validity,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_004,C2_conceptual_methodological_and_terminological_accuracy,sample_generalisation,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_001,C2_conceptual_methodological_and_terminological_accuracy,correlation_causation,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_006,C2_conceptual_methodological_and_terminological_accuracy,confidence_interval,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_007,C2_conceptual_methodological_and_terminological_accuracy,construct_operationalisation,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_008,C2_conceptual_methodological_and_terminological_accuracy,random_assignment,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C2_METH_005,C2_conceptual_methodological_and_terminological_accuracy,effect_size,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C3_ARG_011,C3_academic_argument_and_text_quality_evaluation,overclaiming,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C3_ARG_016,C3_academic_argument_and_text_quality_evaluation,unsupported_practical_implication,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C3_ARG_001,C3_academic_argument_and_text_quality_evaluation,overclaiming,18,18,0,0,0,0.0,0.0,0.0,1.0,2,3,3
C1_SRC_016,C1_literature_based_academic_writing_judgments,bibliographic_accuracy,9,9,0,0,0,0.0,0.0,0.0,1.0,1,3,3
C2_METH_020,C2_conceptual_methodological_and_terminological_accuracy,limitations,9,9,0,0,0,0.0,0.0,0.0,1.0,1,3,3
